ST_ABBR,FIPS,LOCATION,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,20131,"Nemaha County, Kansas",0.1213,0.0624,0.0987,0.1531,0.1496,0.5851,0.0258,0.5894,0.9192,0.2794,0.1015,0.1604,2.0499,0.232,0.1066,0.1066,0.1066,0.761,0.1394,0.0388,0.3246,0.6805,1.9443,0.226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,20133,"Neosho County, Kansas",0.6276,0.2377,0.3148,0.254,0.6856,2.1197,0.3666,0.6203,0.8125,0.7982,0.7161,0.2416,3.1887,0.9052,0.3488,0.3488,0.3488,0.5522,0.3644,0.6744,0.4605,0.6448,2.6963,0.6034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,20135,"Ness County, Kansas",0.4192,0.0264,0.0824,0.2447,0.2702,1.0429,0.0948,0.8682,0.4714,0.3835,0.1015,0.746,2.5706,0.577,0.3889,0.3889,0.3889,0.2699,0.1846,0,0.0293,0.3517,0.8355,0.0092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,20137,"Norton County, Kansas",0.1595,0.1744,0.0681,0.4052,0.5859,1.3931,0.1665,0.6817,0.1604,0.3421,0.0582,0.6601,1.9025,0.1617,0.3682,0.3682,0.3682,0.7467,0.2355,0.0691,0.0939,0.9761,2.1213,0.2992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,20139,"Osage County, Kansas",0.3456,0.3323,0.4328,0.3281,0.5471,1.9859,0.3256,0.5818,0.6639,0.5847,0.366,0.1604,2.3568,0.4217,0.1983,0.1983,0.1983,0.3262,0.5236,0.3183,0.0719,0.2298,1.4698,0.0882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,20141,"Osborne County, Kansas",0.514,0.0624,0.0321,0.0659,0.3383,1.0127,0.0878,0.8835,0.3428,0.4523,0.7015,0,2.3801,0.4392,0.1515,0.1515,0.1515,0.0442,0.1642,0.168,0.2575,0.6805,1.3144,0.0614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,20143,"Ottawa County, Kansas",0.3269,0.0799,0.3628,0.0538,0.3205,1.1439,0.112,0.6496,0.5522,0.352,0.366,0.1604,2.0802,0.2543,0.1623,0.1623,0.1623,0.3262,0.1486,0.0551,0.0366,0.3873,0.9538,0.0169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,20145,"Pawnee County, Kansas",0.4338,0.0487,0.2384,0.353,0.6454,1.7193,0.2473,0.7721,0.0477,0.8686,0.6257,0.3116,2.6257,0.6117,0.4799,0.4799,0.4799,0.3094,0.2298,0.0201,0.1986,0.9742,1.7321,0.156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,20147,"Phillips County, Kansas",0.3612,0.1018,0.0843,0.1375,0.2139,0.8987,0.0694,0.8405,0.5369,0.6712,0.155,0.4297,2.6333,0.6174,0.1903,0.1903,0.1903,0.585,0.2632,0.8549,0.4924,0.4198,2.6153,0.5602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,20149,"Pottawatomie County, Kansas",0.0843,0.0735,0.2139,0.0659,0.1114,0.549,0.021,0.1334,0.9682,0.1149,0.2285,0.1604,1.6054,0.0643,0.3396,0.3396,0.3396,0.3262,0.5048,0.8014,0.0643,0.3517,2.0484,0.2693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,20151,"Pratt County, Kansas",0.3549,0.1849,0.2139,0.2782,0.5156,1.5475,0.2002,0.5602,0.8596,0.1149,0.6257,0.6413,2.8017,0.718,0.3819,0.3819,0.3819,0.5939,0.197,0.7553,0.1986,0.7877,2.5325,0.5156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,20153,"Rawlins County, Kansas",0.6359,0.0169,0.1693,0.0471,0.3912,1.2604,0.1375,0.9284,0.3673,0.7836,0.0191,0.6413,2.7397,0.6849,0.3469,0.3469,0.3469,0.2565,0.2632,0.5656,0.6859,0.3157,2.0869,0.2858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,20155,"Reno County, Kansas",0.4774,0.3912,0.542,0.4131,0.5964,2.4201,0.4698,0.5894,0.5522,0.4523,0.4714,0.4297,2.495,0.5251,0.4885,0.4885,0.4885,0.7731,0.197,0.6483,0.4924,0.7813,2.8921,0.7094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,20157,"Republic County, Kansas",0.3985,0.0201,0.0751,0.0207,0.0869,0.6013,0.0286,0.9357,0.4243,0.2358,0.0255,0,1.6213,0.0678,0.0977,0.0977,0.0977,0.633,0.0773,0.0691,0.3934,0.5245,1.6973,0.1477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,20159,"Rice County, Kansas",0.4102,0.4386,0.1337,0.2864,0.3383,1.6072,0.2161,0.5299,0.5369,0.5191,0.2826,0.7276,2.5961,0.5923,0.5083,0.5083,0.5083,0.676,0.1779,0.0201,0.2753,0.8822,2.0315,0.2642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,20161,"Riley County, Kansas",0.8262,0.5172,0.9892,0.0146,0.2702,2.6174,0.5353,0.0076,0.0512,0.1588,0.7161,0.6104,1.5441,0.0503,0.6085,0.6085,0.6085,0.9729,0.2858,0.6744,0.5942,0.9621,3.4894,0.9427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,20163,"Rooks County, Kansas",0.1973,0.0735,0.0547,0.5191,0.3269,1.1715,0.1171,0.7941,0.5522,0.5293,0.6108,0,2.4864,0.5194,0.1569,0.1569,0.1569,0.3094,0.1314,0.0169,0.2397,0.7428,1.4402,0.0831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,20165,"Rush County, Kansas",0.2616,0.2377,0.4109,0.1684,0.0974,1.176,0.1187,0.8867,0.395,0.3421,0.0353,0,1.6591,0.0757,0.2562,0.2562,0.2562,0.1187,0.2521,0.0388,0.1604,0.5805,1.1505,0.0353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,20167,"Russell County, Kansas",0.4192,0.3912,0.8682,0.1684,0.5226,2.3696,0.4548,0.8609,0.508,0.6964,0.1423,0.0859,2.2935,0.3771,0.2508,0.2508,0.2508,0.633,0.1598,0.5958,0.2132,0.4198,2.0216,0.2581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,20169,"Saline County, Kansas",0.4192,0.3065,0.8612,0.254,0.5859,2.4268,0.472,0.3361,0.6639,0.5678,0.6862,0.6104,2.8644,0.7559,0.5519,0.5519,0.5519,0.7928,0.1114,0.1407,0.8402,0.6139,2.499,0.4924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,20171,"Scott County, Kansas",0.5637,0.0169,0.4831,0.7858,0.3383,2.1878,0.3905,0.4828,0.9418,0.0952,0.2826,0.9045,2.7069,0.6645,0.5742,0.5742,0.5742,0.7075,0.4828,0.4363,0.015,0.478,2.1196,0.2985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,20173,"Sedgwick County, Kansas",0.4265,0.5586,0.7342,0.4255,0.6454,2.7902,0.5923,0.1426,0.8851,0.3689,0.7813,0.83,3.0079,0.8307,0.711,0.711,0.711,0.8921,0.1486,0.6744,0.5812,0.1913,2.4876,0.4879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,20175,"Seward County, Kansas",0.6404,0.2377,0.6668,0.9885,0.895,3.4284,0.8024,0.0111,0.9803,0.028,0.9446,0.994,2.958,0.8071,0.9659,0.9659,0.9659,0.7202,0.585,0.8208,0.76,0.5465,3.4325,0.9297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,20177,"Shawnee County, Kansas",0.2896,0.3323,0.6429,0.2266,0.3912,1.8826,0.2963,0.409,0.7136,0.2985,0.4714,0.6104,2.5029,0.5312,0.6464,0.6464,0.6464,0.8943,0.1114,0.5656,0.7387,0.6448,2.9548,0.7393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,20179,"Sheridan County, Kansas",0.1534,0.092,0.3877,0.0283,0.4309,1.0923,0.1022,0.846,0.7661,0.2874,0.6862,0.4297,3.0154,0.8364,0.2276,0.2276,0.2276,0.2387,0.1598,0,0.2575,0.2298,0.8858,0.0124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,20181,"Sherman County, Kansas",0.07,0.5971,0.2495,0.3994,0.5388,1.8548,0.2887,0.6203,0.6766,0.4523,0.2116,0.0859,2.0467,0.2298,0.4901,0.4901,0.4901,0.6416,0.3692,0.0388,0.1362,0.7715,1.9573,0.232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,20183,"Smith County, Kansas",0.2724,0.12,0.3313,0.057,0.5226,1.3033,0.1467,0.9484,0.211,0.5493,0.2476,0.0859,2.0422,0.2269,0.1359,0.1359,0.1359,0.3469,0.0961,0.0388,0.2397,0.4462,1.1677,0.0391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,20185,"Stafford County, Kansas",0.5353,0.3912,0.0474,0.1782,0.6101,1.7622,0.2613,0.7002,0.7769,0.4023,0.2116,0.7759,2.8669,0.7581,0.493,0.493,0.493,0.1585,0.3183,0.3183,0.0719,0.6696,1.5366,0.1038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,20187,"Stanton County, Kansas",0.6359,0.0735,0.0681,0.8399,0.9574,2.5748,0.5251,0.3851,0.9529,0.4185,0.2476,0.887,2.8911,0.7728,0.8039,0.8039,0.8039,0.4545,0.8727,0.1111,0.1486,0.3517,1.9386,0.2253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,20189,"Stevens County, Kansas",0.5496,0.7992,0.2495,0.9274,0.9042,3.4299,0.803,0.219,0.9663,0.1038,0.832,0.9424,3.0635,0.8555,0.7782,0.7782,0.7782,0.395,0.7737,0.8113,0.6085,0.5974,3.1859,0.8491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,20191,"Sumner County, Kansas",0.4433,0.5385,0.4978,0.1782,0.4917,2.1495,0.3765,0.4933,0.7941,0.5945,0.4316,0.3708,2.6843,0.6493,0.3488,0.3488,0.3488,0.4828,0.4863,0.2377,0.3412,0.5003,2.0483,0.2689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,20193,"Thomas County, Kansas",0.218,0.0264,0.0411,0.1614,0.5296,0.9765,0.0818,0.302,0.5837,0.2794,0.0035,0.4736,1.6422,0.071,0.3488,0.3488,0.3488,0.564,0.3062,0.0201,0.1856,0.8103,1.8862,0.2043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,20195,"Trego County, Kansas",0.1725,0.0659,0.1292,0.0901,0.4398,0.8975,0.0691,0.9208,0.1165,0.3835,0.155,0,1.5758,0.0576,0.013,0.013,0.013,0.4828,0.205,0,0.007,0.6805,1.3753,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,20197,"Wabaunsee County, Kansas",0.0391,0.0624,0.0789,0.0134,0.3205,0.5143,0.0178,0.6111,0.6986,0.6031,0.3905,0.1604,2.4637,0.5013,0.2454,0.2454,0.2454,0.1808,0.2578,0.5958,0.1139,0.3157,1.464,0.0875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,20199,"Wallace County, Kansas",0.501,0.0089,0.0045,0.0611,0.1378,0.7133,0.043,0.8348,0.852,0.9087,0.0041,0.7759,3.3755,0.9526,0.3304,0.3304,0.3304,0.3797,0.3886,0.2377,0.0939,0.4462,1.5461,0.1066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,20201,"Washington County, Kansas",0.2148,0.0414,0.021,0.1531,0.1378,0.5681,0.0236,0.8835,0.4714,0.3689,0.0913,0.5512,2.3663,0.4287,0.1738,0.1738,0.1738,0.2387,0.1066,0.1407,0.084,0.5974,1.1674,0.0388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,20203,"Wichita County, Kansas",0.1493,0.3065,0.0703,0.5191,0.1633,1.2085,0.126,0.6273,0.7435,0.8491,0.4316,0.9249,3.5764,0.9768,0.7043,0.7043,0.7043,0.1003,0.5923,0.5958,0.3571,0.3157,1.9612,0.2346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,20205,"Wilson County, Kansas",0.5496,0.4169,0.4752,0.464,0.2489,2.1546,0.3784,0.7476,0.6986,0.7836,0.6537,0.0859,2.9694,0.8125,0.2613,0.2613,0.2613,0.395,0.5719,0.4742,0.5363,0.3873,2.3647,0.4195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,20207,"Woodson County, Kansas",0.5821,0.9058,0.0882,0.2447,0.6101,2.4309,0.4736,0.8966,0.1881,0.9309,0.3049,0.0859,2.4064,0.4586,0.2241,0.2241,0.2241,0.1346,0.3943,0.0169,0.5652,0.0226,1.1336,0.0334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,20209,"Wyandotte County, Kansas",0.8068,0.7419,0.9357,0.8835,0.9176,4.2855,0.9755,0.0586,0.9494,0.2985,0.9036,0.9647,3.1748,0.9023,0.923,0.923,0.923,0.8896,0.1066,0.9026,0.8603,0.0977,2.8568,0.6887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,21001,"Adair County, Kentucky",0.8262,0.8253,0.4255,0.7957,0.1741,3.0468,0.6808,0.4828,0.2046,0.8405,0.2285,0.1604,1.9168,0.1645,0.2241,0.2241,0.2241,0.4106,0.7928,0.4363,0.4421,0.8765,2.9583,0.7422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,21003,"Allen County, Kentucky",0.7253,0.6617,0.5964,0.774,0.3912,3.1486,0.7151,0.3577,0.6875,0.7982,0.888,0.1604,2.8918,0.7734,0.0863,0.0863,0.0863,0.1983,0.8262,0.8014,0.4605,0.1913,2.4777,0.4822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,21005,"Anderson County, Kentucky",0.4714,0.7151,0.7075,0.3647,0.0439,2.3026,0.4303,0.2113,0.7136,0.8065,0.8116,0.1604,2.7034,0.6601,0.1903,0.1903,0.1903,0.3469,0.3361,0.0691,0.2397,0.0439,1.0357,0.0236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,21007,"Ballard County, Kentucky",0.7728,0.6143,0.0703,0.5258,0.1824,2.1656,0.3813,0.7263,0.3428,0.7187,0.4316,0.0859,2.3053,0.3845,0.2336,0.2336,0.2336,0.1983,0.7247,0.36,0.9287,0.3517,2.5634,0.5321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,21009,"Barren County, Kentucky",0.902,0.7909,0.8148,0.7661,0.5156,3.7894,0.8953,0.3447,0.7136,0.8724,0.7015,0,2.6322,0.6168,0.3189,0.3189,0.3189,0.4545,0.6073,0.8014,0.5054,0.4198,2.7884,0.6556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,21011,"Bath County, Kentucky",0.8829,0.2196,0.106,0.9064,0.3383,2.4532,0.4799,0.2623,0.8657,0.9799,0.4714,0,2.5793,0.5831,0.0812,0.0812,0.0812,0.2565,0.9742,0.1996,0.8272,0.0439,2.3014,0.3915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,21013,"Bell County, Kentucky",0.9831,0.9491,0.775,0.9733,0.2381,3.9186,0.9258,0.4729,0.3574,0.9844,0.6257,0,2.4404,0.4828,0.1445,0.1445,0.1445,0.3797,0.8431,0.4023,0.9258,0.6913,3.2422,0.8727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,21015,"Boone County, Kentucky",0.0522,0.2377,0.2425,0.1152,0.1824,0.83,0.0579,0.0961,0.9055,0.1792,0.7276,0.7276,2.636,0.6197,0.4055,0.4055,0.4055,0.8943,0.1846,0.5344,0.0939,0.0977,1.8049,0.1795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,21017,"Bourbon County, Kentucky",0.7215,0.6279,0.6123,0.6846,0.1378,2.7841,0.5891,0.5299,0.5522,0.6273,0.2651,0.7139,2.6884,0.6525,0.4586,0.4586,0.4586,0.1983,0.2798,0.4023,0.3775,0.2298,1.4877,0.0913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,21019,"Boyd County, Kentucky",0.6598,0.88,0.5165,0.556,0.1926,2.8049,0.5968,0.5516,0.395,0.9453,0.767,0.1604,2.8193,0.7301,0.2148,0.2148,0.2148,0.7285,0.5356,0.36,0.7989,0.7358,3.1588,0.8383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,21021,"Boyle County, Kentucky",0.5933,0.6617,0.7941,0.508,0.1926,2.7497,0.577,0.5108,0.2447,0.6712,0.6537,0.4297,2.5101,0.5369,0.4586,0.4586,0.4586,0.3469,0.2858,0.0551,0.7836,0.9357,2.4071,0.4395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,21023,"Bracken County, Kentucky",0.7492,0.4742,0.2798,0.6041,0.0783,2.1856,0.3896,0.2868,0.7282,0.5045,0.1235,0,1.643,0.0719,0.0458,0.0458,0.0458,0.4545,0.8663,0.5344,0.3571,0.0363,2.2486,0.3622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,21025,"Breathitt County, Kentucky",0.9825,0.9322,0.2651,0.9427,0.0506,3.1731,0.7253,0.2931,0.3011,0.9987,0.6728,0,2.2657,0.3574,0.0239,0.0239,0.0239,0.1346,0.9828,0.8113,0.9819,0.6585,3.5691,0.9564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,21027,"Breckinridge County, Kentucky",0.7782,0.8759,0.1168,0.6509,0.2489,2.6707,0.5522,0.5602,0.6117,0.8724,0.3905,0.3708,2.8056,0.7206,0.1515,0.1515,0.1515,0.1983,0.9039,0.4742,0.4281,0.3517,2.3562,0.4157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,21029,"Bullitt County, Kentucky",0.1922,0.5172,0.2495,0.4997,0.0506,1.5092,0.1916,0.219,0.4714,0.5678,0.6537,0.1604,2.0723,0.2467,0.1515,0.1515,0.1515,0.4106,0.3943,0.6483,0.1257,0.0439,1.6228,0.1292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,21031,"Butler County, Kentucky",0.7158,0.8485,0.2094,0.8425,0.4309,3.0471,0.6814,0.4204,0.5974,0.8405,0.4316,0.7139,3.0038,0.8291,0.1127,0.1127,0.1127,0.2387,0.9313,0.6744,0.5652,0.4198,2.8294,0.675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,21033,"Caldwell County, Kentucky",0.6744,0.7292,0.3787,0.5917,0.6181,2.9921,0.6614,0.7263,0.5369,0.9819,0.641,0.0859,2.972,0.8141,0.2966,0.2966,0.2966,0.3469,0.6073,0.2759,0.8651,0.2298,2.325,0.4045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,21035,"Calloway County, Kentucky",0.7728,0.3765,0.7785,0.3453,0.3055,2.5786,0.5271,0.3116,0.1025,0.6209,0.2476,0.2416,1.5242,0.0458,0.3396,0.3396,0.3396,0.761,0.6178,0.2759,0.3246,0.9278,2.9071,0.7158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,21037,"Campbell County, Kentucky",0.2384,0.3765,0.7075,0.2002,0.0439,1.5665,0.2031,0.219,0.3316,0.2298,0.6862,0.3116,1.7782,0.1095,0.2454,0.2454,0.2454,0.9456,0.0738,0.3183,0.7387,0.7428,2.8192,0.668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,21039,"Carlisle County, Kentucky",0.8721,0.4561,0.2718,0.6983,0.3663,2.6646,0.5493,0.6817,0.6117,0.4421,0.5124,0.2416,2.4895,0.5204,0.1852,0.1852,0.1852,0.0707,0.8103,0.2377,0.1856,0.2298,1.5341,0.1028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,21041,"Carroll County, Kentucky",0.8374,0.9634,0.8342,0.8654,0.4309,3.9313,0.9284,0.1891,0.8934,0.5293,0.9468,0,2.5586,0.5646,0.3657,0.3657,0.3657,0.1346,0.8784,0.9313,0.4924,0.6448,3.0815,0.8059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,21043,"Carter County, Kentucky",0.9131,0.5385,0.2556,0.8921,0.6101,3.2094,0.7336,0.4828,0.6359,0.8686,0.4516,0.0859,2.5248,0.5458,0.0385,0.0385,0.0385,0.3262,0.9484,0.1407,0.627,0.6283,2.6706,0.5898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,21045,"Casey County, Kentucky",0.979,0.9058,0.4055,0.9749,0.7782,4.0434,0.9491,0.6346,0.5974,0.8622,0.6108,0.515,3.22,0.9147,0.1127,0.1127,0.1127,0.2218,0.9039,0.5958,0.5363,0.6585,2.9163,0.7218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
