ST_ABBR,FIPS,LOCATION,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,01027,"Clay County, Alabama",0.7069,0.5971,0.1203,0.8504,0.4994,2.7741,0.5856,0.6419,0.3011,0.7782,0.9147,0.0859,2.7218,0.6738,0.5423,0.5423,0.5423,0.0866,0.8412,0.1996,0.5054,0.4462,2.079,0.2817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,01029,"Cleburne County, Alabama",0.67,0.1849,0.2094,0.8224,0.754,2.6407,0.5439,0.6598,0.5522,0.8517,0.155,0.4297,2.6484,0.6289,0.2202,0.2202,0.2202,0.0579,0.9313,0.3183,0.5812,0.2298,2.1185,0.2979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,01031,"Coffee County, Alabama",0.556,0.6143,0.3081,0.6846,0.6633,2.8263,0.6041,0.3116,0.6986,0.6712,0.8978,0.6104,3.1896,0.9055,0.6862,0.6862,0.6862,0.2218,0.6276,0.5958,0.4421,0.1913,2.0786,0.2813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,01033,"Colbert County, Alabama",0.4863,0.3065,0.5882,0.6782,0.3482,2.4074,0.4647,0.5894,0.3316,0.6712,0.591,0.4736,2.6568,0.6346,0.577,0.577,0.577,0.4246,0.4398,0.0551,0.3934,0.0977,1.4106,0.0761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,01035,"Conecuh County, Alabama",0.888,0.88,0.0474,0.712,0.6454,3.1728,0.725,0.8062,0.3186,0.9223,0.7015,0,2.7486,0.6891,0.8756,0.8756,0.8756,0.1346,0.9446,0.0388,0.8918,0.0363,2.0461,0.2683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,01037,"Coosa County, Alabama",0.5197,0.112,0.1493,0.7858,0.3581,1.9249,0.3065,0.8348,0.0512,0.9392,0.1423,0.3116,2.2791,0.3679,0.7406,0.7406,0.7406,0.0866,0.9523,0.7718,0.0449,0.7358,2.5914,0.5496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,01039,"Covington County, Alabama",0.6999,0.8682,0.3313,0.6983,0.668,3.2657,0.7514,0.712,0.4398,0.8348,0.6537,0.0859,2.7262,0.677,0.4981,0.4981,0.4981,0.1808,0.8285,0.5656,0.5812,0.478,2.6341,0.5719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,01041,"Crenshaw County, Alabama",0.6598,0.3065,0.2798,0.9188,0.4653,2.6302,0.5395,0.5407,0.522,0.9157,0.6537,0.3116,2.9437,0.7995,0.6741,0.6741,0.6741,0.1003,0.9182,0.1996,0.7387,0.3157,2.2725,0.3775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,01043,"Cullman County, Alabama",0.4102,0.5172,0.2995,0.8192,0.7234,2.7695,0.5827,0.4535,0.5369,0.7581,0.5124,0.4297,2.6906,0.6534,0.2753,0.2753,0.2753,0.4828,0.8447,0.5032,0.1139,0.3517,2.2963,0.3892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,01045,"Dale County, Alabama",0.7753,0.9293,0.6668,0.6983,0.6728,3.7425,0.8832,0.302,0.6238,0.8724,0.8211,0.515,3.1343,0.8835,0.7027,0.7027,0.7027,0.1983,0.796,0.1407,0.4281,0.6585,2.2216,0.3453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,01047,"Dallas County, Alabama",0.9634,0.9644,0.8912,0.7575,0.6337,4.2102,0.9659,0.409,0.7661,0.7043,0.9392,0.1604,2.979,0.8176,0.971,0.971,0.971,0.3262,0.7791,0.2377,0.9768,0.3517,2.6715,0.5904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,01049,"DeKalb County, Alabama",0.8969,0.4169,0.3787,0.9348,0.8259,3.4532,0.809,0.3116,0.7855,0.2874,0.5124,0.8701,2.767,0.6951,0.5439,0.5439,0.5439,0.1983,0.8542,0.7718,0.4102,0.3157,2.5502,0.5232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,01051,"Elmore County, Alabama",0.2263,0.3323,0.4905,0.5987,0.3912,2.039,0.3393,0.198,0.522,0.5045,0.6257,0.515,2.3652,0.4271,0.6458,0.6458,0.6458,0.4828,0.662,0.2759,0.3412,0.8364,2.5983,0.5532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,01053,"Escambia County, Alabama",0.9265,0.9596,0.4427,0.881,0.7339,3.9437,0.93,0.4204,0.5369,0.7508,0.7813,0.3708,2.8602,0.7543,0.7934,0.7934,0.7934,0.1585,0.7393,0.2759,0.641,0.9067,2.7214,0.6168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,01055,"Etowah County, Alabama",0.6314,0.6442,0.4255,0.6983,0.7187,3.1181,0.7043,0.5108,0.4077,0.6964,0.7922,0.5863,2.9934,0.8246,0.5831,0.5831,0.5831,0.5264,0.5121,0.2377,0.5363,0.2686,2.0811,0.2833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,01057,"Fayette County, Alabama",0.8374,0.8861,0.5586,0.7463,0.4653,3.4937,0.8205,0.6913,0.3673,0.9605,0.3905,0,2.4096,0.4618,0.4758,0.4758,0.4758,0.4246,0.7597,0.0875,0.7989,0.478,2.5487,0.5229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
